GENE.NAME,ID,start,end,X,PMM,seq_id,strand,bound_moiety,em_BRITE,em_BiGG_Reaction,em_CAZy,em_COG_cat,em_EC,em_GOs,em_KEGG_Module,em_KEGG_Pathway,em_KEGG_Reaction,em_KEGG_TC,em_KEGG_ko,em_KEGG_rclass,em_OGs,em_PFAMs,em_Preferred_name,em_desc,em_evalue,em_max_annot_lvl,em_score,em_target,em_tcov,end_range,gene,product,protein_id,type
mdlB,cds-WP_042116225.1,782624,784270,916,NA,NC_005072.1,-,NA,"ko00000,ko02000",,,V,,,,,,"3.A.1.106,3.A.1.109,3.A.1.21",ko:K06147,,"COG1132@1|root,COG1132@2|Bacteria,1G185@1117|Cyanobacteria,1MKQ1@1212|Prochloraceae","ABC_membrane,ABC_tran",mdlB,Alternative locus ID,0,1117|Cyanobacteria,1030,59919.PMM0827,90.4,,,ABC transporter ATP-binding protein/permease,WP_042116225.1,CDS
cysQ,cds-WP_042116241.1,1139010,1139921,1337,PMM1192,NC_005072.1,-,NA,"ko00000,ko00001,ko01000,ko03016",,,P,3.1.3.7,,,"ko00920,ko01100,ko01120,ko01130,map00920,map01100,map01120,map01130","R00188,R00508",,ko:K01082,RC00078,"COG1218@1|root,COG1218@2|Bacteria,1G4TE@1117|Cyanobacteria,1MKUJ@1212|Prochloraceae",Inositol_P,cysQ,Alternative locus ID,2.24E-219,1117|Cyanobacteria,605,59919.PMM1192,96.8,,,3'(2')%2C5'-bisphosphate nucleotidase CysQ,WP_042116241.1,CDS
cds-WP_042116249.1,cds-WP_042116249.1,1341057,1341164,1557,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"2BPMP@1|root,32IEQ@2|Bacteria,1GMBI@1117|Cyanobacteria,1MP4V@1212|Prochloraceae",,,Alternative locus ID,1.38E-16,1117|Cyanobacteria,71.2,1471522.JFNU01000202_gene983,83.3,,,high light inducible protein,WP_042116249.1,CDS
cds-WP_052039325.1,cds-WP_052039325.1,1174288,1175301,1370,NA,NC_005072.1,-,NA,"ko00000,ko00001,ko02000",,,M,,,,"ko02026,map02026",,1.B.18,ko:K01991,,"COG1596@1|root,COG1596@2|Bacteria,1G0AJ@1117|Cyanobacteria,1MN46@1212|Prochloraceae","Poly_export,SLBB",,Alternative locus ID,1.53E-235,1117|Cyanobacteria,649,59919.PMM1224,96,,,SLBB domain-containing protein,WP_052039325.1,CDS
PMM1168,cds-WP_052039327.1,1119316,1119954,1313,PMM1168,NC_005072.1,+,NA,,,,Q,,,,,,,,,"COG0500@1|root,COG2226@2|Bacteria,1G0AI@1117|Cyanobacteria,1MMDT@1212|Prochloraceae",Methyltransf_11,,Alternative locus ID,5.06E-155,1117|Cyanobacteria,434,59919.PMM1168,99.1,,,methyltransferase domain-containing protein,WP_052039327.1,CDS
TX50_RS09255,cds-WP_071812973.1,402806,402937,469,NA,NC_005072.1,+,NA,,,,S,,,,,,,,,"COG4338@1|root,COG4338@2|Bacteria,1G94B@1117|Cyanobacteria,3VKMJ@52604|Pleurocapsales",DUF2256,,Uncharacterized protein conserved in bacteria (DUF2256),2.86E-19,1117|Cyanobacteria,78.6,251229.Chro_1428,81.6,,,DUF2256 domain-containing protein,WP_071812973.1,CDS
TX50_RS09260,cds-WP_071812974.1,627774,627875,716,NA,NC_005072.1,-,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,DUF4278 domain-containing protein,WP_071812974.1,CDS
TX50_RS09290,cds-WP_071812976.1,818991,819176,959,NA,NC_005072.1,+,NA,,,,S,,,,,,,,,"28ZRT@1|root,30MNS@2|Bacteria,1GJP4@1117|Cyanobacteria,1MN51@1212|Prochloraceae",,,Alternative locus ID,9.36E-36,1117|Cyanobacteria,121,1471459.JFLJ01000130_gene1458,100,,,hypothetical protein,WP_071812976.1,CDS
PMM0111,cds-WP_071812981.1,113092,113295,117,PMM0111,NC_005072.1,+,NA,,,,S,,,,,,,,,"2A3GM@1|root,30RZF@2|Bacteria,1GR6E@1117|Cyanobacteria,1MNWR@1212|Prochloraceae",DUF751,,Alternative locus ID,1.65E-39,1117|Cyanobacteria,131,59919.PMM0111,95.7,,,DUF751 family protein,WP_071812981.1,CDS
PMM1846,cds-WP_071812982.1,395600,395773,459,PMM1846,NC_005072.1,-,NA,,,,S,,,,,,,,,"2DE2M@1|root,2ZK8J@2|Bacteria,1GG2J@1117|Cyanobacteria,1MMX8@1212|Prochloraceae",DUF4278,,Alternative locus ID,2.00E-32,1117|Cyanobacteria,112,59919.PMM1846,87.7,,,DUF4278 domain-containing protein,WP_071812982.1,CDS
cds-WP_080503708.1,cds-WP_080503708.1,822421,823047,967,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"2BNTV@1|root,32HHK@2|Bacteria,1GMB1@1117|Cyanobacteria,1MM7R@1212|Prochloraceae",LptC,,Alternative locus ID,2.39E-106,1117|Cyanobacteria,309,59919.PMM0866,100,,lptC,LPS export ABC transporter periplasmic protein LptC,WP_080503708.1,CDS
PMM1108,cds-WP_080503714.1,1057199,1057810,1234,PMM1108,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000,ko01004",,,I,2.3.1.51,,M00089,"ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110","R02241,R09381",,ko:K00655,"RC00004,RC00037,RC00039","COG0204@1|root,COG0204@2|Bacteria,1G1SN@1117|Cyanobacteria,1MKWB@1212|Prochloraceae",Acyltransferase,,Alternative locus ID,1.59E-140,1117|Cyanobacteria,398,59919.PMM1108,90.2,,,1-acyl-sn-glycerol-3-phosphate acyltransferase,WP_080503714.1,CDS
PMM1802,cds-WP_152556135.1,58826,58963,57,PMM1802,NC_005072.1,+,NA,,,,None,,,,,,,,,"2A32K@1|root,32M0Z@2|Bacteria,1GPF1@1117|Cyanobacteria,1MMYV@1212|Prochloraceae",,,None,6.83E-21,1117|Cyanobacteria,82.8,146891.A9601_00671,88.2,,,hypothetical protein,WP_152556135.1,CDS
PMM0030,cds-WP_152556136.1,30289,30525,30,PMM0030,NC_005072.1,+,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,transcription factor TFIID,WP_152556136.1,CDS
PMM1253,cds-WP_152556142.1,1205509,1206240,1399,PMM1253,NC_005072.1,+,NA,,,,Q,,,,,,,,,"COG0500@1|root,COG2226@2|Bacteria","Methyltransf_11,Methyltransf_23,Methyltransf_25,Methyltransf_31",,methyltransferase,2.85E-153,2|Bacteria,431,59919.PMM1253,100,,,class I SAM-dependent methyltransferase,WP_152556142.1,CDS
PMM1415,cds-WP_152556148.1,1356007,1356975,1589,PMM1415,NC_005072.1,+,NA,"ko00000,ko00001,ko01000",,,Q,3.1.1.45,,,"ko00361,ko00364,ko00623,ko01100,ko01110,ko01120,ko01130,map00361,map00364,map00623,map01100,map01110,map01120,map01130","R03893,R05510,R05511,R06835,R06838,R08120,R08121,R09136,R09220,R09222",,ko:K01061,"RC01018,RC01906,RC01907,RC02441,RC02467,RC02468,RC02674,RC02675,RC02686","COG0412@1|root,COG0412@2|Bacteria","Abhydrolase_6,DLH",,carboxymethylenebutenolidase activity,1.50E-232,2|Bacteria,640,59919.PMM1415,98.8,,,UBX domain protein,WP_152556148.1,CDS
PMM0432,cds-WP_152556153.1,410784,411266,477,PMM0432,NC_005072.1,-,NA,,,,S,,,,,,,,,"COG5512@1|root,COG5512@2|Bacteria,1G72V@1117|Cyanobacteria,1MMBR@1212|Prochloraceae",DUF721,,Alternative locus ID,1.04E-104,1117|Cyanobacteria,302,59919.PMM0432,100,,,DUF721 domain-containing protein,WP_152556153.1,CDS
PMM0359,cds-WP_152556154.1,343111,343296,385,PMM0359,NC_005072.1,-,NA,,,,S,,,,,,,,,"2A6VB@1|root,30VPU@2|Bacteria,1GPVQ@1117|Cyanobacteria,1MN23@1212|Prochloraceae",,,Alternative locus ID,3.15E-34,1117|Cyanobacteria,117,1471522.JFNU01000004_gene322,100,,,hypothetical protein,WP_152556154.1,CDS
PMM1800,cds-WP_157859382.1,38074,38226,40,PMM1800,NC_005072.1,+,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_157859382.1,CDS
TX50_RS09405,cds-WP_157859384.1,348632,348781,395,NA,NC_005072.1,+,NA,,,,None,,,,,,,,,"2B1NB@1|root,31U3U@2|Bacteria,1GHIB@1117|Cyanobacteria,1MN69@1212|Prochloraceae",,,None,6.22E-22,1117|Cyanobacteria,85.9,1471522.JFNU01000004_gene328,80.3,,,hypothetical protein,WP_157859384.1,CDS
PMM2034,cds-WP_157859385.1,350136,350273,398,PMM2034,NC_005072.1,-,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_157859385.1,CDS
PMM1835,cds-WP_157859386.1,358796,358942,413,PMM1835,NC_005072.1,-,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_157859386.1,CDS
PMM1863,cds-WP_157859387.1,655057,655200,747,PMM1863,NC_005072.1,-,NA,,,,None,,,,,,,,,"2A2VY@1|root,30RA1@2|Bacteria,1GMNZ@1117|Cyanobacteria,1MMW0@1212|Prochloraceae",,,None,2.02E-14,1117|Cyanobacteria,66.6,146891.A9601_13111,88.7,,,hypothetical protein,WP_157859387.1,CDS
PMM1874,cds-WP_157859388.1,664508,664648,769,PMM1874,NC_005072.1,-,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_157859388.1,CDS
PMM1905,cds-WP_157859389.1,814929,815084,949,PMM1905,NC_005072.1,+,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_157859389.1,CDS
PMM1922,cds-WP_157859390.1,932754,932927,1082,PMM1922,NC_005072.1,+,NA,,,,None,,,,,,,,,"2B9AQ@1|root,322N6@2|Bacteria,1GNC2@1117|Cyanobacteria,1MP6P@1212|Prochloraceae",,,None,2.26E-13,1117|Cyanobacteria,64.3,59921.EU92_1285,100,,,hypothetical protein,WP_157859390.1,CDS
TX50_RS09470,cds-WP_157859391.1,970896,971081,1146,NA,NC_005072.1,+,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_157859391.1,CDS
PMM1952,cds-WP_157859392.1,980301,980444,1160,PMM1952,NC_005072.1,+,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_157859392.1,CDS
PMM1964,cds-WP_157859393.1,1087629,1087772,1276,PMM1964,NC_005072.1,+,NA,,,,None,,,,,,,,,"2A2VY@1|root,30RA1@2|Bacteria,1GMNZ@1117|Cyanobacteria,1MMW0@1212|Prochloraceae",,,None,1.98E-23,1117|Cyanobacteria,89.4,146891.A9601_13111,88.7,,,hypothetical protein,WP_157859393.1,CDS
PMM1970,cds-WP_157859394.1,1115529,1115684,1306,PMM1970,NC_005072.1,+,NA,,,,None,,,,,,,,,"2A64I@1|root,30UX1@2|Bacteria,1GI4I@1117|Cyanobacteria,1MN45@1212|Prochloraceae",,,None,3.50E-24,1117|Cyanobacteria,92.8,167542.P9515_01411,50,,,hypothetical protein,WP_157859394.1,CDS
PMM2006,cds-WP_157859396.1,1347474,1347623,1571,PMM2006,NC_005072.1,+,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_157859396.1,CDS
TX50_RS09500,cds-WP_157859397.1,1364193,1364333,1601,NA,NC_005072.1,-,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_157859397.1,CDS
cds-WP_162009310.1,cds-WP_162009310.1,817747,817920,955,NA,NC_005072.1,+,NA,,,,S,,,,,,,,,"2A3CS@1|root,30RV7@2|Bacteria,1GJMI@1117|Cyanobacteria,1MN01@1212|Prochloraceae",,,Alternative locus ID,1.80E-32,1117|Cyanobacteria,112,59919.PMM1912,93.4,,,hypothetical protein,WP_162009310.1,CDS
cds-WP_162009311.1,cds-WP_162009311.1,817924,818061,956,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"2BHAG@1|root,32BC2@2|Bacteria,1GMWH@1117|Cyanobacteria,1MNA4@1212|Prochloraceae",,,Alternative locus ID,2.67E-15,1117|Cyanobacteria,68.6,1471522.JFNU01000139_gene1720,91.1,,,hypothetical protein,WP_162009311.1,CDS
cds-WP_162009312.1,cds-WP_162009312.1,1070565,1070702,1250,NA,NC_005072.1,-,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_162009312.1,CDS
cds-WP_162009313.1,cds-WP_162009313.1,1353430,1353606,1584,NA,NC_005072.1,-,NA,,,,None,,,,,,,,,"2A1ZN@1|root,30Q9C@2|Bacteria,1GKZB@1117|Cyanobacteria,1MPH4@1212|Prochloraceae",,,None,6.62E-29,1117|Cyanobacteria,104,59919.PMM2010,75.3,,,hypothetical protein,WP_162009313.1,CDS
thiP,cds-WP_162009314.1,462266,463798,538,NA,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko02000",,,P,,,M00190,"ko02010,map02010",,3.A.1.10,ko:K02011,,"COG1178@1|root,COG1178@2|Bacteria,1G1J7@1117|Cyanobacteria,1MKGJ@1212|Prochloraceae",BPD_transp_1,thiP,iron ABC transporter,0,1117|Cyanobacteria,966,59919.PMM0489,96,,,iron ABC transporter permease,WP_162009314.1,CDS
cds-WP_173027939.1,cds-WP_173027939.1,95004,95147,95,NA,NC_005072.1,+,NA,,,,S,,,,,,,,,"2BRDA@1|root,32KC2@2|Bacteria,1GP4S@1117|Cyanobacteria,1MN8T@1212|Prochloraceae",,,Alternative locus ID,7.19E-14,1117|Cyanobacteria,65.1,1471459.JFLJ01000024_gene143,91.5,,,hypothetical protein,WP_173027939.1,CDS
cds-WP_173027940.1,cds-WP_173027940.1,324090,324233,353,NA,NC_005072.1,-,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_173027940.1,CDS
cds-WP_173027941.1,cds-WP_173027941.1,325698,325838,356,NA,NC_005072.1,+,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_173027941.1,CDS
cds-WP_173027942.1,cds-WP_173027942.1,330635,331042,365,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"2CGRY@1|root,349X4@2|Bacteria,1GF59@1117|Cyanobacteria,1MMC6@1212|Prochloraceae",,,Alternative locus ID,1.13E-94,1117|Cyanobacteria,277,59919.PMM1816,78.5,,,hypothetical protein,WP_173027942.1,CDS
cds-WP_173027943.1,cds-WP_173027943.1,341305,341478,382,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"2B2DH@1|root,31UY1@2|Bacteria,1GIRW@1117|Cyanobacteria,1MMYA@1212|Prochloraceae",,,Alternative locus ID,1.63E-32,1117|Cyanobacteria,112,1471459.JFLJ01000095_gene1375,100,,,hypothetical protein,WP_173027943.1,CDS
cds-WP_173027945.1,cds-WP_173027945.1,343484,343627,386,NA,NC_005072.1,+,NA,,,,S,,,,,,,,,"2B8FC@1|root,321QD@2|Bacteria,1GMP9@1117|Cyanobacteria,1MMWP@1212|Prochloraceae",,,Alternative locus ID,4.63E-19,1117|Cyanobacteria,78.2,1471522.JFNU01000004_gene323,97.9,,,hypothetical protein,WP_173027945.1,CDS
cds-WP_173027947.1,cds-WP_173027947.1,350589,350732,399,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"2A311@1|root,30RFS@2|Bacteria,1GPC4@1117|Cyanobacteria,1MN4A@1212|Prochloraceae",,,Alternative locus ID,3.81E-18,1117|Cyanobacteria,75.9,1501268.EW14_1330,100,,,hypothetical protein,WP_173027947.1,CDS
cds-WP_173027949.1,cds-WP_173027949.1,351016,351153,401,NA,NC_005072.1,-,NA,,,,None,,,,,,,,,"2B8NT@1|root,321Y9@2|Bacteria,1GMVA@1117|Cyanobacteria,1MN7B@1212|Prochloraceae",,,None,8.99E-14,1117|Cyanobacteria,64.7,167546.P9301_04051,97.8,,,hypothetical protein,WP_173027949.1,CDS
cds-WP_173027951.1,cds-WP_173027951.1,351856,352020,402,NA,NC_005072.1,-,NA,,,,None,,,,,,,,,"29Z2Z@1|root,30M0H@2|Bacteria,1GJBX@1117|Cyanobacteria,1MMWI@1212|Prochloraceae",,,None,4.87E-23,1117|Cyanobacteria,89,93060.P9215_04321,84.1,,,hypothetical protein,WP_173027951.1,CDS
cds-WP_173027954.1,cds-WP_173027954.1,596195,596371,676,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"2A077@1|root,30NAD@2|Bacteria,1GJZ8@1117|Cyanobacteria,1MN4Y@1212|Prochloraceae",,,Alternative locus ID,1.51E-24,1117|Cyanobacteria,92.8,74546.PMT9312_1836,100,,,hypothetical protein,WP_173027954.1,CDS
cds-WP_173027956.1,cds-WP_173027956.1,621735,621887,703,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"2BP8Y@1|root,32I0H@2|Bacteria,1GMWC@1117|Cyanobacteria,1MN9V@1212|Prochloraceae",,,Alternative locus ID,2.63E-26,1117|Cyanobacteria,96.7,59919.PMM1853,100,,,hypothetical protein,WP_173027956.1,CDS
cds-WP_173027959.1,cds-WP_173027959.1,627256,627405,714,NA,NC_005072.1,-,NA,,,,None,,,,,,,,,"2A0EJ@1|root,30NIA@2|Bacteria,1GIAS@1117|Cyanobacteria,1MP5V@1212|Prochloraceae",,,None,8.02E-23,1117|Cyanobacteria,87.8,146891.A9601_07131,100,,,hypothetical protein,WP_173027959.1,CDS
cds-WP_173027961.1,cds-WP_173027961.1,627532,627696,715,NA,NC_005072.1,+,NA,,,,S,,,,,,,,,"2A32E@1|root,30RHA@2|Bacteria,1GMUJ@1117|Cyanobacteria,1MN6C@1212|Prochloraceae",,,Alternative locus ID,3.84E-25,1117|Cyanobacteria,94,59926.EV02_1787,100,,,hypothetical protein,WP_173027961.1,CDS
cds-WP_173027963.1,cds-WP_173027963.1,653240,653377,743,NA,NC_005072.1,+,NA,,,,None,,,,,,,,,"2B1GC@1|root,31TX9@2|Bacteria,1GI3K@1117|Cyanobacteria,1MPCX@1212|Prochloraceae",,,None,2.82E-17,1117|Cyanobacteria,73.6,93060.P9215_07751,97.8,,,hypothetical protein,WP_173027963.1,CDS
cds-WP_173027965.1,cds-WP_173027965.1,653818,653964,745,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"2BIMH@1|root,32CUG@2|Bacteria,1GI3Q@1117|Cyanobacteria,1MN3F@1212|Prochloraceae",,,Alternative locus ID,2.52E-16,1117|Cyanobacteria,72,146891.A9601_12801,65.8,,,hypothetical protein,WP_173027965.1,CDS
cds-WP_173027968.1,cds-WP_173027968.1,655765,655920,749,NA,NC_005072.1,-,NA,,,,None,,,,,,,,,"2A6UF@1|root,30VNU@2|Bacteria,1GHI0@1117|Cyanobacteria,1MPDE@1212|Prochloraceae",,,None,1.79E-20,1117|Cyanobacteria,82,1501268.EW14_1721,100,,,hypothetical protein,WP_173027968.1,CDS
cds-WP_173027970.1,cds-WP_173027970.1,656770,656943,752,NA,NC_005072.1,-,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_173027970.1,CDS
cds-WP_173027972.1,cds-WP_173027972.1,659400,659561,757,NA,NC_005072.1,-,NA,,,,None,,,,,,,,,"2A0YT@1|root,30P41@2|Bacteria,1GN9M@1117|Cyanobacteria,1MP2Q@1212|Prochloraceae",,,None,3.74E-19,1117|Cyanobacteria,79,146891.A9601_07521,89.5,,,hypothetical protein,WP_173027972.1,CDS
cds-WP_173027974.1,cds-WP_173027974.1,663762,663917,767,NA,NC_005072.1,-,NA,,,,None,,,,,,,,,"2A2WQ@1|root,30RAV@2|Bacteria,1GNR2@1117|Cyanobacteria,1MMX1@1212|Prochloraceae",,,None,1.23E-29,1117|Cyanobacteria,105,1501268.EW14_0788,100,,,hypothetical protein,WP_173027974.1,CDS
cds-WP_173027976.1,cds-WP_173027976.1,700574,700750,816,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"2FDTJ@1|root,32E43@2|Bacteria,1GIC2@1117|Cyanobacteria,1MN8K@1212|Prochloraceae",,,Alternative locus ID,8.46E-22,1117|Cyanobacteria,85.9,74545.EU96_0387,100,,,hypothetical protein,WP_173027976.1,CDS
cds-WP_173027978.1,cds-WP_173027978.1,741738,741905,859,NA,NC_005072.1,+,NA,,,,None,,,,,,,,,"2BBHF@1|root,3250Z@2|Bacteria,1GHAR@1117|Cyanobacteria,1MN2C@1212|Prochloraceae",,,None,1.32E-19,1117|Cyanobacteria,80.1,1471522.JFNU01000049_gene562,100,,,hypothetical protein,WP_173027978.1,CDS
cds-WP_173027981.1,cds-WP_173027981.1,769026,769184,894,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"2A18U@1|root,30PF8@2|Bacteria,1GNCM@1117|Cyanobacteria,1MP7G@1212|Prochloraceae",,,Alternative locus ID,1.55E-12,1117|Cyanobacteria,62,93057.EU95_0277,100,,,hypothetical protein,WP_173027981.1,CDS
cds-WP_173027983.1,cds-WP_173027983.1,774177,774329,905,NA,NC_005072.1,-,NA,,,,None,,,,,,,,,"2A6S4@1|root,30VK9@2|Bacteria,1GPUC@1117|Cyanobacteria,1MMZW@1212|Prochloraceae",,,None,1.96E-19,1117|Cyanobacteria,79.3,167546.P9301_07391,96,,,hypothetical protein,WP_173027983.1,CDS
cds-WP_173027985.1,cds-WP_173027985.1,774319,774459,906,NA,NC_005072.1,-,NA,,,,None,,,,,,,,,"2B1GC@1|root,31TX9@2|Bacteria,1GI3K@1117|Cyanobacteria,1MPCX@1212|Prochloraceae",,,None,4.75E-14,1117|Cyanobacteria,65.5,93060.P9215_07751,100,,,hypothetical protein,WP_173027985.1,CDS
cds-WP_173027988.1,cds-WP_173027988.1,794780,794941,927,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"2A2ZB@1|root,30RDT@2|Bacteria,1GMRT@1117|Cyanobacteria,1MN1K@1212|Prochloraceae",,,Alternative locus ID,7.74E-16,1117|Cyanobacteria,70.5,146891.A9601_10311,100,,,hypothetical protein,WP_173027988.1,CDS
cds-WP_173027990.1,cds-WP_173027990.1,813844,814002,945,NA,NC_005072.1,+,NA,,,,S,,,,,,,,,"29ZCZ@1|root,30MBM@2|Bacteria,1GHAP@1117|Cyanobacteria,1MN2B@1212|Prochloraceae",,,Alternative locus ID,3.99E-22,1117|Cyanobacteria,86.3,74545.EU96_0906,98.1,,,hypothetical protein,WP_173027990.1,CDS
cds-WP_173027992.1,cds-WP_173027992.1,814290,814460,947,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"2A2XM@1|root,30RBW@2|Bacteria,1GMQ5@1117|Cyanobacteria,1MMYM@1212|Prochloraceae",,,Alternative locus ID,7.95E-26,1117|Cyanobacteria,95.9,146891.A9601_10101,100,,,hypothetical protein,WP_173027992.1,CDS
cds-WP_173027993.1,cds-WP_173027993.1,814693,814860,948,NA,NC_005072.1,+,NA,,,,None,,,,,,,,,"2A5GZ@1|root,30U74@2|Bacteria,1GJR5@1117|Cyanobacteria,1MN1R@1212|Prochloraceae",,,None,4.02E-17,1117|Cyanobacteria,73.9,1501268.EW14_1042,91.4,,,hypothetical protein,WP_173027993.1,CDS
cds-WP_173027995.1,cds-WP_173027995.1,815484,815636,950,NA,NC_005072.1,-,NA,,,,None,,,,,,,,,"2B8FB@1|root,321QC@2|Bacteria,1GNQ3@1117|Cyanobacteria,1MMWN@1212|Prochloraceae",,,None,3.26E-18,1117|Cyanobacteria,76.3,146891.A9601_10071,100,,,hypothetical protein,WP_173027995.1,CDS
cds-WP_173027997.1,cds-WP_173027997.1,817042,817191,953,NA,NC_005072.1,+,NA,,,,S,,,,,,,,,"2A33C@1|root,30RIB@2|Bacteria,1GMVI@1117|Cyanobacteria,1MN7R@1212|Prochloraceae",,,Alternative locus ID,5.15E-28,1117|Cyanobacteria,100,59919.PMM1910,100,,,hypothetical protein,WP_173027997.1,CDS
cds-WP_173027999.1,cds-WP_173027999.1,817404,817568,954,NA,NC_005072.1,+,NA,,,,S,,,,,,,,,"2B8KD@1|root,321VQ@2|Bacteria,1GMTB@1117|Cyanobacteria,1MN4B@1212|Prochloraceae",,,Alternative locus ID,5.65E-12,1117|Cyanobacteria,60.8,167548.EU98_1982,96.4,,,hypothetical protein,WP_173027999.1,CDS
cds-WP_173028001.1,cds-WP_173028001.1,819489,819632,961,NA,NC_005072.1,+,NA,,,,S,,,,,,,,,"2A311@1|root,30RFS@2|Bacteria,1GPC4@1117|Cyanobacteria,1MN4A@1212|Prochloraceae",,,Alternative locus ID,2.21E-17,1117|Cyanobacteria,73.9,74546.PMT9312_1918,100,,,hypothetical protein,WP_173028001.1,CDS
cds-WP_173028003.1,cds-WP_173028003.1,830778,830954,975,NA,NC_005072.1,+,NA,,,,S,,,,,,,,,"2EN0F@1|root,33FNN@2|Bacteria,1GAEB@1117|Cyanobacteria",,,Alternative locus ID,3.13E-24,1117|Cyanobacteria,92,93057.EU95_0167,100,,,hypothetical protein,WP_173028003.1,CDS
cds-WP_173028005.1,cds-WP_173028005.1,914516,914674,1060,NA,NC_005072.1,-,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_173028005.1,CDS
cds-WP_173028007.1,cds-WP_173028007.1,932184,932354,1081,NA,NC_005072.1,-,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_173028007.1,CDS
cds-WP_173028009.1,cds-WP_173028009.1,947821,947976,1106,NA,NC_005072.1,+,NA,,,,S,,,,,,,,,"2A5YY@1|root,30UR3@2|Bacteria,1GI3T@1117|Cyanobacteria,1MN3G@1212|Prochloraceae",,,Alternative locus ID,2.91E-19,1117|Cyanobacteria,79,74545.EU96_0251,100,,,hypothetical protein,WP_173028009.1,CDS
cds-WP_173028011.1,cds-WP_173028011.1,949170,949307,1109,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"29ZPJ@1|root,30MQ8@2|Bacteria,1GJPU@1117|Cyanobacteria,1MN15@1212|Prochloraceae",,,Alternative locus ID,1.00E-18,1117|Cyanobacteria,77.8,146891.A9601_10841,64.7,,,hypothetical protein,WP_173028011.1,CDS
cds-WP_173028013.1,cds-WP_173028013.1,954970,955131,1116,NA,NC_005072.1,+,NA,,,,S,,,,,,,,,"2A304@1|root,30RER@2|Bacteria,1GMSM@1117|Cyanobacteria,1MN32@1212|Prochloraceae",,,Photosystem II reaction centre N prot,3.39E-19,1117|Cyanobacteria,79,167546.P9301_10911,100,,,photosystem II reaction centre N prot,WP_173028013.1,CDS
cds-WP_173028016.1,cds-WP_173028016.1,972438,972584,1149,NA,NC_005072.1,+,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,WP_173028016.1,CDS
cds-WP_173028018.1,cds-WP_173028018.1,972756,972896,1150,NA,NC_005072.1,+,NA,,,,None,,,,,,,,,"2A0ID@1|root,30NNI@2|Bacteria,1GHM0@1117|Cyanobacteria,1MPED@1212|Prochloraceae",,,None,6.65E-12,1117|Cyanobacteria,60.1,167546.P9301_11281,100,,,hypothetical protein,WP_173028018.1,CDS
cds-WP_173028020.1,cds-WP_173028020.1,973248,973394,1152,NA,NC_005072.1,+,NA,,,,None,,,,,,,,,"2BMBZ@1|root,32FW7@2|Bacteria,1GI5C@1117|Cyanobacteria,1MN4P@1212|Prochloraceae",,,None,1.07E-22,1117|Cyanobacteria,87.4,1471522.JFNU01000142_gene55,100,,,hypothetical protein,WP_173028020.1,CDS
